crop_year,harvest_area,yield,production,imports,exports,total_consumption,food_seed_and_industrial_use,feed_use,ending_stocks,country
 2019/20,     --,     --,     --,4950,323,4681,2311,2370,732,Vietnam
 2020/21,     --,     --,     --,5119,326,4783,2421,2362,742,Vietnam
 2021/22,     --,     --,     --,5212,343,4864,2507,2357,747,Vietnam
 2022/23,     --,     --,     --,5369,349,4993,2617,2376,774,Vietnam
 2023/24,     --,     --,     --,5472,356,5095,2721,2374,795,Vietnam
 2024/25,     --,     --,     --,5545,369,5177,2814,2363,794,Vietnam
 2025/26,     --,     --,     --,5673,377,5286,2923,2363,804,Vietnam
 2026/27,     --,     --,     --,5778,387,5383,3022,2361,812,Vietnam
 2027/28,     --,     --,     --,5897,395,5496,3138,2358,819,Vietnam
 2028/29,     --,     --,     --,6019,399,5613,3257,2356,826,Vietnam
 2016/17,222205,3.38,752083,183345,183345,739217,592151,147066,257263,World
 2017/18,219704,3.45,758738,181270,181270,741147,596696,144451,274854,World
 2018/19,216621,3.37,730922,180399,180399,745601,605342,140259,260175,World
 2019/20,220154,3.44,758426,185007,185007,753622,607287,146335,264979,World
 2020/21,221021,3.47,767481,188828,188828,762563,613194,149369,269897,World
 2021/22,221709,3.50,775727,192284,192284,771576,619575,152001,274048,World
 2022/23,222276,3.53,784271,195960,195960,780762,625554,155208,277557,World
 2023/24,222909,3.55,792182,199354,199354,789267,631094,158173,280472,World
 2024/25,223710,3.58,800701,202686,202686,797072,636631,160441,284101,World
 2025/26,224195,3.60,808119,206222,206222,805062,642365,162697,287158,World
 2026/27,224976,3.63,816737,209856,209856,812982,648043,164939,290913,World
 2027/28,225519,3.66,824642,213552,213552,822028,653974,168054,293527,World
 2028/29,226102,3.68,833002,217621,217621,831552,660152,171400,294977,World
